dynamism,urgency,scale,cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,comp_time,num_vehicles,num_orders
0.2,20,1.0,6286.238197005923,2193.2126636725898,3677.0255333333334,416.0,true,0.20-20-1.00-0,123,24465,10,240
0.2,20,1.0,5780.848593321733,2272.2010433217333,3098.5142166666665,410.1333333333333,true,0.20-20-1.00-1,123,25446,10,240
0.2,20,1.0,7215.144890751013,2194.733824084347,4556.411066666667,464.0,true,0.20-20-1.00-2,123,28763,10,240
0.2,20,1.0,7619.257248943704,2131.749648943705,4996.1076,491.4,true,0.20-20-1.00-3,123,29677,10,240
0.2,20,1.0,7479.842026397451,2226.522709730784,4766.45265,486.8666666666667,true,0.20-20-1.00-4,123,33450,10,240
0.2,20,1.0,7723.290220184591,2161.8305535179247,5019.409666666666,542.05,true,0.20-20-1.00-5,123,32976,10,240
0.2,20,1.0,7640.539562026375,2214.742645359709,4903.913583333333,521.8833333333333,true,0.20-20-1.00-6,123,32752,10,240
0.2,20,1.0,4874.657738209614,2150.11195487628,2428.479116666667,296.06666666666666,true,0.20-20-1.00-7,123,27421,10,240
0.2,20,1.0,7548.972244858582,2223.025761525248,4817.06315,508.8833333333333,true,0.20-20-1.00-8,123,25801,10,240
0.2,20,1.0,6371.111103927212,2342.711570593878,3611.8495333333335,416.55,true,0.20-20-1.00-9,123,26166,10,240
0.2,20,10.0,53239.69940120921,15764.293334542546,34139.87273333333,3335.5333333333333,true,0.20-20-10.00-0,123,1604252,100,2400
0.2,20,10.0,56391.874139512605,15753.751156179274,36669.70631666666,3968.4166666666665,true,0.20-20-10.00-1,123,2638258,100,2400
0.2,20,10.0,43257.014665546805,15945.261598880135,24972.069733333334,2339.6833333333334,true,0.20-20-10.00-2,123,3092109,100,2400
0.2,20,10.0,52804.12272996742,16074.006663300752,33156.33273333334,3573.7833333333333,true,0.20-20-10.00-3,123,2906187,100,2400
0.2,20,10.0,61175.426325387176,15524.849458720504,41375.8602,4274.716666666666,true,0.20-20-10.00-4,123,2125578,100,2400
0.2,20,10.0,42904.72713071589,16174.830864049229,24512.412933333333,2217.483333333333,true,0.20-20-10.00-5,123,3089165,100,2400
0.2,20,10.0,47250.919819843904,16046.165403177236,28316.73775,2888.016666666667,true,0.20-20-10.00-6,123,3048471,100,2400
0.2,20,10.0,42902.885599411835,15897.645299411834,24800.906966666666,2204.3333333333335,true,0.20-20-10.00-7,123,3132618,100,2400
0.2,20,10.0,50383.92738629765,15833.175302964311,31583.702083333334,2967.05,true,0.20-20-10.00-8,123,2994245,100,2400
0.2,20,10.0,48376.211051532584,16054.495818199252,29484.198566666666,2837.516666666667,true,0.20-20-10.00-9,123,3056150,100,2400
0.2,20,5.0,25255.82985819044,8855.63900819044,14885.44085,1514.75,true,0.20-20-5.00-0,123,760524,50,1200
0.2,20,5.0,29115.818075023573,8694.839608356904,18562.8118,1858.1666666666667,true,0.20-20-5.00-1,123,694227,50,1200
0.2,20,5.0,23850.15488049699,8729.979597163656,13758.525283333332,1361.65,true,0.20-20-5.00-2,123,702150,50,1200
0.2,20,5.0,27786.02316902074,8461.056319020741,17474.700183333334,1850.2666666666667,true,0.20-20-5.00-3,123,665568,50,1200
0.2,20,5.0,21445.171628354623,8702.36194502129,11668.059683333333,1074.75,true,0.20-20-5.00-4,123,798206,50,1200
0.2,20,5.0,32468.703169748205,8639.17438641487,21582.028783333335,2247.5,true,0.20-20-5.00-5,123,638265,50,1200
0.2,20,5.0,31444.868409437247,8657.109909437246,20669.525166666666,2118.233333333333,true,0.20-20-5.00-6,123,626979,50,1200
0.2,20,5.0,24660.624539016866,8797.965505683536,14533.8257,1328.8333333333333,true,0.20-20-5.00-7,123,663872,50,1200
0.2,20,5.0,21723.72224134957,8843.245524682903,11812.626716666668,1067.85,true,0.20-20-5.00-8,123,819296,50,1200
0.2,20,5.0,24944.39491330498,8714.732896638312,14659.04535,1570.6166666666666,true,0.20-20-5.00-9,123,616001,50,1200
0.2,35,1.0,6796.254729859971,2172.5237465266378,4099.99765,523.7333333333333,true,0.20-35-1.00-0,123,35422,10,240
0.2,35,1.0,8435.222276637307,2134.344109970641,5713.594833333334,587.2833333333333,true,0.20-35-1.00-1,123,42505,10,240
0.2,35,1.0,5627.113851257003,2149.262301257003,3062.7182166666666,415.1333333333333,true,0.20-35-1.00-2,123,39998,10,240
0.2,35,1.0,4311.692837373643,2121.308270706976,1955.1679,235.21666666666667,true,0.20-35-1.00-3,123,37007,10,240
0.2,35,1.0,4723.168819038989,2328.0999357056544,2156.2188833333335,238.85,true,0.20-35-1.00-4,123,39273,10,240
0.2,35,1.0,6241.609244007596,2181.4831106742627,3677.7928,382.3333333333333,true,0.20-35-1.00-5,123,42584,10,240
0.2,35,1.0,4877.636292722408,2121.1170427224083,2497.185916666667,259.3333333333333,true,0.20-35-1.00-6,123,38262,10,240
0.2,35,1.0,5970.5753629008495,2120.516129567516,3434.5759,415.48333333333335,true,0.20-35-1.00-7,123,36637,10,240
0.2,35,1.0,5944.778039433545,2133.753356100211,3366.1080166666666,444.9166666666667,true,0.20-35-1.00-8,123,36448,10,240
0.2,35,1.0,5790.58895964906,2192.214609649059,3231.77435,366.6,true,0.20-35-1.00-9,123,34271,10,240
0.2,35,10.0,42181.475954464615,16277.569104464614,23677.890183333333,2226.016666666667,true,0.20-35-10.00-0,123,4648124,100,2400
0.2,35,10.0,56304.674500664725,15754.019750664727,36518.52141666667,4032.133333333333,true,0.20-35-10.00-1,123,4041201,100,2400
