dynamism,urgency,scale,cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,comp_time,num_vehicles,num_orders
0.2,20,1.0,7829.236573225399,2236.7061565587323,5069.097083333333,523.4333333333333,true,0.20-20-1.00-0,123,17213,10,240
0.2,20,1.0,5816.431115893205,2249.477099226539,3172.5706833333334,394.3833333333333,true,0.20-20-1.00-1,123,15765,10,240
0.2,20,1.0,7844.932634197252,2173.1009008639185,5188.6984,483.1333333333333,true,0.20-20-1.00-2,123,18922,10,240
0.2,20,1.0,8687.543302137667,2260.1200188043335,5883.83995,543.5833333333334,true,0.20-20-1.00-3,123,18086,10,240
0.2,20,1.0,7700.1413666649805,2170.8055499983134,5048.06915,481.26666666666665,true,0.20-20-1.00-4,123,17804,10,240
0.2,20,1.0,8121.686650194063,2342.7674168607305,5218.1025666666665,560.8166666666667,true,0.20-20-1.00-5,123,16949,10,240
0.2,20,1.0,8354.330193099786,2362.4195097664524,5443.644016666667,548.2666666666667,true,0.20-20-1.00-6,123,20843,10,240
0.2,20,1.0,5575.354726558063,2270.475259891396,2965.0961333333335,339.78333333333336,true,0.20-20-1.00-7,123,18840,10,240
0.2,20,1.0,8507.110429448558,2242.6330127818906,5707.344083333333,557.1333333333333,true,0.20-20-1.00-8,123,18023,10,240
0.2,20,1.0,7266.951192132895,2355.0085087995617,4449.90935,462.03333333333336,true,0.20-20-1.00-9,123,17393,10,240
0.2,20,10.0,58452.126293678906,16178.466793678912,38708.7095,3564.95,true,0.20-20-10.00-0,123,1355609,100,2400
0.2,20,10.0,60624.25018254606,15958.08216587939,40595.45135,4070.7166666666667,true,0.20-20-10.00-1,123,2170766,100,2400
0.2,20,10.0,49982.87543094892,16204.914030948925,30976.978066666667,2800.983333333333,true,0.20-20-10.00-2,123,2676862,100,2400
0.2,20,10.0,57955.595724755745,15960.737791422409,38209.507933333334,3785.35,true,0.20-20-10.00-3,123,2465755,100,2400
0.2,20,10.0,65420.218518318834,15784.140168318838,45197.72835,4438.35,true,0.20-20-10.00-4,123,1705737,100,2400
0.2,20,10.0,47196.119910887726,16292.110327554396,28565.57625,2338.4333333333334,true,0.20-20-10.00-5,123,2509004,100,2400
0.2,20,10.0,51997.941068579144,16276.70046857914,32613.4406,3107.8,true,0.20-20-10.00-6,123,2443963,100,2400
0.2,20,10.0,49148.57769358569,15844.806593585694,30833.3711,2470.4,true,0.20-20-10.00-7,123,2637593,100,2400
0.2,20,10.0,58588.107427459305,15873.672077459309,39322.96868333333,3391.4666666666667,true,0.20-20-10.00-8,123,2648029,100,2400
0.2,20,10.0,53168.25483445981,16035.643267793146,34021.3449,3111.266666666667,true,0.20-20-10.00-9,123,2540818,100,2400
0.2,20,5.0,29229.14477545714,8937.16812545714,18619.543316666666,1672.4333333333334,true,0.20-20-5.00-0,123,634032,50,1200
0.2,20,5.0,31183.50442986669,8825.584379866692,20364.453383333333,1993.4666666666667,true,0.20-20-5.00-1,123,529401,50,1200
0.2,20,5.0,26063.42503195952,8751.358865292852,15781.3995,1530.6666666666667,true,0.20-20-5.00-2,123,577283,50,1200
0.2,20,5.0,29371.587999682186,8550.473916348856,18931.497416666665,1889.6166666666666,true,0.20-20-5.00-3,123,511914,50,1200
0.2,20,5.0,24561.390472025487,8961.401522025488,14332.23895,1267.75,true,0.20-20-5.00-4,123,617975,50,1200
0.2,20,5.0,33484.99134172861,8812.082808395278,22442.4252,2230.483333333333,true,0.20-20-5.00-5,123,512453,50,1200
0.2,20,5.0,33935.57368842972,8823.262821763057,22815.660866666665,2296.65,true,0.20-20-5.00-6,123,476941,50,1200
0.2,20,5.0,26732.587226704833,8853.978643371503,16472.258583333332,1406.35,true,0.20-20-5.00-7,123,553819,50,1200
0.2,20,5.0,24198.755688983296,8873.895438983298,14055.343583333333,1269.5166666666667,true,0.20-20-5.00-8,123,631243,50,1200
0.2,20,5.0,28541.100398008704,8839.905964675372,17929.7611,1771.4333333333334,true,0.20-20-5.00-9,123,524827,50,1200
